,html,polarities,subjectivity
0,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">The conservative news network Newsmax has apologized for airing false allegations that an employee for Dominion Voting Systems manipulated machines or tallies on Election Day to the detriment of former President Donald Trump. <a href=""https://t.co/jwtDYEnEaF"">https://t.co/jwtDYEnEaF</a></p>&mdash; The Associated Press (@AP) <a href=""https://twitter.com/AP/status/1388259642132910085?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.3
1,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">American tourists who have been fully vaccinated against Covid-19 will be allowed to visit the European Union this summer. <a href=""https://t.co/AJHhzGPg29"">https://t.co/AJHhzGPg29</a></p>&mdash; The New York Times (@nytimes) <a href=""https://twitter.com/nytimes/status/1388692245998710790?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.0
2,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">Opinion: The U.S. has finally acknowledged the genocide of Armenians. What about Native Americans? <a href=""https://t.co/K4jTnfJ5sx"">https://t.co/K4jTnfJ5sx</a></p>&mdash; The Washington Post (@washingtonpost) <a href=""https://twitter.com/washingtonpost/status/1388763641881763842?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,1.0
3,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">FBI was aware prominent Americans, including Giuliani, were targeted by Russian influence operation <a href=""https://t.co/WWdPQ7g98j"">https://t.co/WWdPQ7g98j</a></p>&mdash; The Washington Post (@washingtonpost) <a href=""https://twitter.com/washingtonpost/status/1388497375015092224?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.4166666666666667
4,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Opinion: Biden has more respect for Liz Cheney than Republicans do <a href=""https://t.co/18oTJ0Yelu"">https://t.co/18oTJ0Yelu</a></p>&mdash; The Washington Post (@washingtonpost) <a href=""https://twitter.com/washingtonpost/status/1388355774582231040?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.5
5,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">A hospital system in Houston is requiring all of its employees to get vaccinated against Covid-19, making it one of the first major hospital systems in the US to mandate vaccination among employees and move to fire them if they don&#39;t comply <a href=""https://t.co/Bxhu4Yqo2t"">https://t.co/Bxhu4Yqo2t</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388478390827683840?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",+ve,0.4166666666666666
6,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">A hospital system in Houston is requiring all of its employees to get vaccinated against Covid-19, making it one of the first major hospital systems in the US to mandate vaccination among employees and move to fire them if they don&#39;t comply <a href=""https://t.co/67HUaYncvd"">https://t.co/67HUaYncvd</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388840780828192775?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",+ve,0.4166666666666666
7,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">TSA is extending the rule requiring all US travelers to wear masks on planes, trains, buses and boats until September 13 <a href=""https://t.co/ErXHWizbmL"">https://t.co/ErXHWizbmL</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388349486590742528?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.0
8,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">BREAKING: Consumer spending rose 4.2% last month, the fastest pace in nine months, while incomes, boosted by stimulus checks, soared a record-breaking 21.1% in March. The gains offer more evidence the economy is poised for a robust recovery.</p>&mdash; The Associated Press (@AP) <a href=""https://twitter.com/AP/status/1388117384410578959?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.5055555555555555
9,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Precious artifacts that were looted during the colonial era will finally be returned to Nigeria, the German government has announced.  <a href=""https://t.co/DIsP5AWpYS"">https://t.co/DIsP5AWpYS</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388066866770362368?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.6666666666666666
10,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Italian rapper Fedez accuses state TV of censorship attempt <a href=""https://t.co/2d8oRK0PYe"">https://t.co/2d8oRK0PYe</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1388924557566824448?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",+ve,0.0
11,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">Man behind &#39;Spanish laughing guy&#39; meme, comedian Juan Joya Borja, dies aged 65 <a href=""https://t.co/SxqtrN8YPb"">https://t.co/SxqtrN8YPb</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1387703053411827714?ref_src=twsrc%5Etfw"">April 29, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.3666666666666667
12,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Olympia Dukakis, an actress known for the world-weary characters she played in films such as “Moonstruck” and “Steel Magnolias,” has died at 89. <a href=""https://t.co/04fOP2bPFl"">https://t.co/04fOP2bPFl</a></p>&mdash; The New York Times (@nytimes) <a href=""https://twitter.com/nytimes/status/1388594079240499200?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.5
13,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Woman in viral &quot;Disaster Girl&quot; meme sells original photo for $473,000 (£341,000)<a href=""https://t.co/Oe5wNBN8Nb"">https://t.co/Oe5wNBN8Nb</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1388196922318598148?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.75
14,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">Woman in viral &quot;Disaster Girl&quot; meme sells original photo for $473,000 (£341,000)<a href=""https://t.co/rwPaX6ZVcq"">https://t.co/rwPaX6ZVcq</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1388495400391294982?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.75
15,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">Simple to make, versatile in use and complex in flavor, guasacaca sauce is one of the wonderful condiments of Venezuelan cuisine. <a href=""https://t.co/QAvAdd12cX"">https://t.co/QAvAdd12cX</a></p>&mdash; The New York Times (@nytimes) <a href=""https://twitter.com/nytimes/status/1388573963694051340?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",+ve,0.5857142857142857
16,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">Kenyan anti-vaccine doctor dies from Covid-19<br> <a href=""https://t.co/o7CKX6Q381"">https://t.co/o7CKX6Q381</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1388489486041034757?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",-ve,0.0
17,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">At 114 years old, Thelma Sutcliffe is the oldest living American and the 7th oldest person in the world, according to the Gerontology Research Group. And all she wants to do is eat meals with her friend. <a href=""https://t.co/dqs7RmKDJp"">https://t.co/dqs7RmKDJp</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388689742674472967?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",+ve,0.1
18,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">Kenyan anti-vaccine doctor dies from Covid-19<br> <a href=""https://t.co/Y8dNUOWTud"">https://t.co/Y8dNUOWTud</a></p>&mdash; BBC News (World) (@BBCWorld) <a href=""https://twitter.com/BBCWorld/status/1388182635017654276?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",-ve,0.0
19,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">BREAKING: Undetermined number of people shot at Wisconsin casino, according to casino spokesperson; no information on conditions. <a href=""https://t.co/XL9qrgywcN"">https://t.co/XL9qrgywcN</a></p>&mdash; The Associated Press (@AP) <a href=""https://twitter.com/AP/status/1388676146183688192?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.0
20,"<blockquote class=""twitter-tweet"" data-theme=""light""><p lang=""en"" dir=""ltr"">This Nigerian teenager has received full-ride scholarship offers worth more than $5 million from 19 universities across the United States and Canada, including Yale College, Princeton University, Harvard College, Stanford University and Brown University. <a href=""https://t.co/sL7Re2nhac"">https://t.co/sL7Re2nhac</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388163768778174468?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.1999999999999999
21,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">This Nigerian teenager has received full-ride scholarship offers worth more than $5 million from 19 universities across the United States and Canada, including Yale College, Princeton University, Harvard College, Stanford University and Brown University. <a href=""https://t.co/CJx4054OvV"">https://t.co/CJx4054OvV</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388297183976378368?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.1999999999999999
22,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">This Nigerian teenager has received full-ride scholarship offers worth more than $5 million from 19 universities across the United States and Canada, including Yale College, Princeton University, Harvard College, Stanford University and Brown University. <a href=""https://t.co/8pBBR5vsXJ"">https://t.co/8pBBR5vsXJ</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388387743424819200?ref_src=twsrc%5Etfw"">May 1, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.1999999999999999
23,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">THREAD: The sister of Ma&#39;Khia Bryant called 911 a few weeks before Bryant&#39;s fatal shooting by a Columbus, Ohio, police officer, saying the girls had been fighting and she wanted to leave their foster home, according to records obtained by <a href=""https://twitter.com/AP?ref_src=twsrc%5Etfw"">@AP</a>. <a href=""https://t.co/vrxrG959bP"">https://t.co/vrxrG959bP</a></p>&mdash; The Associated Press (@AP) <a href=""https://twitter.com/AP/status/1388234870346993665?ref_src=twsrc%5Etfw"">April 30, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.1
24,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">A 12-year-old in North Carolina used the downtime he had during the pandemic to take on a few extra classes in school.<br><br>Now, one year later, Mike Wimmer is getting ready to graduate high school and college -- in the same week. <a href=""https://t.co/BesrJrLuKe"">https://t.co/BesrJrLuKe</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/1388659563755343879?ref_src=twsrc%5Etfw"">May 2, 2021</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",*,0.2274999999999999
